respondent,partner,frequency,partner_norm,partner_clean,freq_clean
R6,School Board,Regularly (once a week or more),school board,local school board,Regularly
R6,School Board,Seldom (once a month or less)  ,school board,local school board,Seldom
R6,Hospital,Occasionally (a few times a month),hospital,Hospital,Occasionally
R7,Toronto Catholic District School Board,Regularly (once a week or more),toronto catholic district school board,Toronto Catholic District School Board,Regularly
R7,Canadian Disability Participation Project,Seldom (once a month or less)  ,canadian disability participation project,Canadian Disability Participation Project,Seldom
R7,Chai Lifeline Canada,Occasionally (a few times a month),chai lifeline canada,Chai Lifeline Canada,Occasionally
R8,SCIBC,Seldom (once a month or less)  ,scibc,SCIBC,Seldom
R8,Global News,Seldom (once a month or less)  ,global news,Global News,Seldom
R8,BC Rehab,Seldom (once a month or less)  ,bc rehab,BC Rehab,Seldom
R14,CCHR,Seldom (once a month or less)  ,cchr,CCHR,Seldom
R16,Canada hearing society,Seldom (once a month or less)  ,canada hearing society,Canada hearing society,Seldom
R16,Ontario para sports,Seldom (once a month or less)  ,ontario para sports,Ontario para sports,Seldom
R17,ODSP ActionCoalotion,Regularly (once a week or more),odsp actioncoalotion,ODSP ActionCoalotion,Regularly
R17,Disibility Without Poverty,Occasionally (a few times a month),disibility without poverty,Disibility Without Poverty,Occasionally
R17,Canadian Human Rights Commission,Seldom (once a month or less)  ,canadian human rights commission,Canadian Human Rights Commission,Seldom
R18,"I don't ""collaborate"", I'm disabled. There's nobody to ""collaborate"" with. There's NOBODY who truly advocates for disabled rights in Canada! None of t",Seldom (once a month or less)  ,i don't collaborate i'm disabled there's nobody to collaborate with there's nobody who truly advocates for disabled rights in canada none of t,"I don't ""collaborate"", I'm disabled. There's nobody to ""collaborate"" with. There's NOBODY who truly advocates for disabled rights in Canada! None of t",Seldom
R19,I am the co-founder of the NBCPD (New Brunswick Coalition of Persons with Disabilities). I advocated with my provincial government and the federal gov,Seldom (once a month or less)  ,i am the co-founder of the nbcpd new brunswick coalition of persons with disabilities i advocated with my provincial government and the federal gov,I am the co-founder of the NBCPD (New Brunswick Coalition of Persons with Disabilities). I advocated with my provincial government and the federal gov,Seldom
R20,facilitate inclusive projects,Regularly (once a week or more),facilitate inclusive projects,facilitate inclusive projects,Regularly
R20,provide resources,Regularly (once a week or more),provide resources,provide resources,Regularly
R20,raise awareness,Occasionally (a few times a month),raise awareness,raise awareness,Occasionally
R21,The organizations I am involved with are also,Seldom (once a month or less)  ,the organizations i am involved with are also,The organizations I am involved with are also,Seldom
R21,Assisted Living of Southwestern ontario,Seldom (once a month or less)  ,assisted living of southwestern ontario,Assisted Living of Southwestern ontario,Seldom
R21,and the ODSP Action Coalition.,I do not currently have a third organization that I am a part of.,and the odsp action coalition,and the ODSP Action Coalition.,Unknown
R22,BC human rights tribunal.,Seldom (once a month or less)  ,bc human rights tribunal,BC human rights tribunal.,Seldom
R23,Connected in Motion,Seldom (once a month or less)  ,connected in motion,Connected in Motion,Seldom
R23,the Alberta government,Seldom (once a month or less)  ,the alberta government,the Alberta government,Seldom
R23,the City of Calgary,Seldom (once a month or less)  ,the city of calgary,the City of Calgary,Seldom
R24,Government surveys related to disabled people,Seldom (once a month or less)  ,government surveys related to disabled people,Government surveys related to disabled people,Seldom
R25,Ability First Ottawa,Regularly (once a week or more),ability first ottawa,Ability First Ottawa,Regularly
R25,Inclusion Canada,Seldom (once a month or less)  ,inclusion canada,Inclusion Canada,Seldom
R25,Disability without poverty.,Seldom (once a month or less)  ,disability without poverty,Disability without poverty.,Seldom
R26,I haven’t had collaborations in disability rights implementations,Seldom (once a month or less)  ,i havent had collaborations in disability rights implementations,I haven’t had collaborations in disability rights implementations,Seldom
R27,Association des personnes vivant avec une surdité de Laval,Occasionnellement (quelques fois par mois),association des personnes vivant avec une surdité de laval,Association des personnes vivant avec une surdité de Laval,Occasionally
R27,Maison des Sourds de Montréal,Rarement (une fois par mois ou moins)  ,maison des sourds de montréal,Maison des Sourds de Montréal,Seldom
R27,Réseau québécois pour l'inclusion sociale des personnes sourdes et malentendantes,Rarement (une fois par mois ou moins)  ,réseau québécois pour l'inclusion sociale des personnes sourdes et malentendantes,Réseau québécois pour l'inclusion sociale des personnes sourdes et malentendantes,Seldom
R28,C.I.S.S - Port Coquitlam,Occasionally (a few times a month),ciss - port coquitlam,C.I.S.S - Port Coquitlam,Occasionally
R28,BC  for my daughter,Seldom (once a month or less)  ,bc for my daughter,BC  for my daughter,Seldom
R28,employment support.  Cornerstone - Maple Ridge,Usually no funding for services for our daughter.,employment support cornerstone - maple ridge,employment support.  Cornerstone - Maple Ridge,Unknown
R29,Disability Filibuster and Dignity Denied. Also I do self-advocacy,Seldom (once a month or less)  ,disability filibuster and dignity denied also i do self-advocacy,Disability Filibuster and Dignity Denied. Also I do self-advocacy,Seldom
R29,advocacy for others,Seldom (once a month or less)  ,advocacy for others,advocacy for others,Seldom
R29,and mutual aid outside of formal organizations,Regularly (once a week or more),and mutual aid outside of formal organizations,and mutual aid outside of formal organizations,Regularly
R30,Grande Prairie Residential Society “To provide accessible and affordable housing for people with physical disabilities”.  Spinal Cord Injury Alberta (,Occasionally (a few times a month),grande prairie residential society to provide accessible and affordable housing for people with physical disabilities spinal cord injury alberta ,Grande Prairie Residential Society “To provide accessible and affordable housing for people with physical disabilities”.  Spinal Cord Injury Alberta (,Occasionally
R31,1. family 2.  FSCD 3.  School,Regularly (once a week or more),1 family 2 fscd 3 school,1. family 2.  FSCD 3.  School,Regularly
R32,Edmonton Association of the Deaf,Occasionally (a few times a month),edmonton association of the deaf,Edmonton Association of the Deaf,Occasionally
R32,The Invisible Practice,Regularly (once a week or more),the invisible practice,The Invisible Practice,Regularly
