resp_id,language,connection_type,issues,partners_raw,freq1,freq2,freq3,partners_linked,connection_category,issue_category,primary_connection,primary_issue
RMicrosoft Forms ,EN,,,,,,,,Unknown,Unknown,Unknown,Unknown
R6,EN,Health  ,Children,"School Board,  School Board, Hospital ",Regularly (once a week or more),Seldom (once a month or less)  ,Occasionally (a few times a month),No,Health,Children/Youth,Health,Children/Youth
R7,EN,Health  ,Children,"Toronto Catholic District School Board, Canadian Disability Participation Project, Chai Lifeline Canada",Regularly (once a week or more),Seldom (once a month or less)  ,Occasionally (a few times a month),No,Health,Children/Youth,Health,Children/Youth
R8,EN,Leisure,Adult physically disabled,"SCIBC, Global News, BC Rehab",Seldom (once a month or less)  ,Seldom (once a month or less)  ,Seldom (once a month or less)  ,No,Leisure,Other,Leisure,Other
R14,EN,Health  ,self,CCHR,Seldom (once a month or less)  ,,,No,Health,Other,Health,Other
R15,EN,I am deaf. ,I taught and trained deaf to be employed ready before I resigned due to covid and upper management  toxicity. ,,Seldom (once a month or less)  ,Seldom (once a month or less)  ,Seldom (once a month or less)  ,No,Person with Disability,Employment,Person with Disability,Employment
R16,EN,Leisure,Young adults aged 20-40 ,"Canada hearing society, Ontario para sports ",Seldom (once a month or less)  ,Seldom (once a month or less)  ,Na,No,Leisure,Other,Leisure,Other
R17,EN,"Advocacy (i.e., civil society organization, disabled persons organization)",Disibility poverty of adults living with disibility.,"ODSP ActionCoalotion, Disibility Without Poverty, Canadian Human Rights Commission",Regularly (once a week or more),Occasionally (a few times a month),Seldom (once a month or less)  ,No,Person with Disability;Advocate/CSO,Poverty/Income,Person with Disability,Poverty/Income
R18,EN,"I'm not ""involved"" with people with disabilities, I AM disabled","I thought this was supposed to be a survey of people who are disabled. First question and it already seems like I'm being devalued as a person with disabilities.
I'm not ""involved"" with people with disabilities, I AM disabled. I'm not a ""sector"" to be involved with, I'm a human being. 
Your glaringly ableist and dismissive attitude shines through, when all you want to hear from is people who are ""involved"" with us and not us and our opinions, which you devalue.","I don't ""collaborate"", I'm disabled. There's nobody to ""collaborate"" with. There's NOBODY who truly advocates for disabled rights in Canada! None of the disability organizations I'm familiar with want to hear from me, this apparently includes you. All they do is step between us and the public and pretend to represent our interests when they're only in it for themselves and they do NOTHING to help us.",Seldom (once a month or less)  ,Seldom (once a month or less)  ,Seldom (once a month or less)  ,No,Person with Disability,Other,Person with Disability,Other
R19,EN,"Advocacy (i.e., civil society organization, disabled persons organization)",poverty reduction for persons with severe disabilities,I am the co-founder of the NBCPD (New Brunswick Coalition of Persons with Disabilities). I advocated with my provincial government and the federal government for the implementation of a guaranteed income for persons with severe disabilities unable to work enough to pay for their basic needs.,Seldom (once a month or less)  ,Seldom (once a month or less)  ,,Yes,Person with Disability;Advocate/CSO,Poverty/Income,Person with Disability,Poverty/Income
